,gene_id,AT5G17300,AT5G67190,AT5G65310,AT2G46270,AT3G62420
Homeobox_ATHB13_col_a,AT1G69780,,,,,
Homeobox_ATHB18_col_a,AT1G70920,,,,,
Homeobox_ATHB18_colamp_a,AT1G70920,,,,,
Homeobox_ATHB20_colamp_a,AT3G01220,,,,,
Homeobox_ATHB6_col_a,AT2G22430,,,,,
Homeobox_ATHB7_col_a,AT2G46680,,,,,
Homeobox_ecoli_HAT2_col_v31,AT5G47370,,,,,
Homeobox_HAT2_colamp_a,AT5G47370,,,,,
Homeobox_HDG1_col100_a,AT3G61150,,,,,
Homeobox_PDF2_col,AT4G04890,,,,,yes
HSF_HSF21_col_a,AT4G18880,,,,,
HSF_HSF3_col_a,AT5G16820,,,,,
HSF_HSF3_colamp_a,AT5G16820,,,,,
HSF_HSF6_col_a,AT5G62020,,,,,
HSF_HSF7_col_a,AT4G11660,,,,,
HSF_HSF7_colamp_a,AT4G11660,,,,,
HSF_HSFA6B_col,AT3G22830,,,,,
HSF_HSFA6B_colamp_a,AT3G22830,,,,,
HSF_HSFB3_colamp_a,AT2G41690,,,,,
HSF_HSFC1_col_a,AT3G24520,,,,,
HSF_HSFC1_colamp_a,AT3G24520,,,,,
LOBAS2_ASL18_col_a,AT2G42430,,,,,
LOBAS2_ASL18_colamp_a,AT2G42430,,,,,
LOBAS2_LBD13_colamp_a,AT2G30340,,,,,
LOBAS2_LBD18_col_a,AT2G45420,,,,,
LOBAS2_LBD18_colamp_a,AT2G45420,yes,,,,
LOBAS2_LBD19_col_a,AT2G45410,,,yes,,
LOBAS2_LBD19_colamp_a,AT2G45410,yes,yes,yes,yes,
LOBAS2_LBD2_col_a,AT1G06280,,,,,
LOBAS2_LBD2_colamp_a,AT1G06280,,,,,
LOBAS2_LBD23_col_a,AT3G26620,,,,,
LOBAS2_LOB_col_a,AT5G63090,,,,,
MADS_AGL15_col_a,AT5G13790,,,,,
MADS_AGL63_col_a,AT1G31140,yes,,,,
MADS_SVP_col_v3b,AT2G22540,yes,yes,,,
MADS_SVP_colamp_v3b,AT2G22540,,,,,
mTERF_AT5G23930_col_a,AT5G23930,,yes,,,
MYB_ATY13_col_a,AT1G74650,,yes,,,
MYB_BOS1_col_a,AT3G06490,,,,,
MYB_MS188_col_a,AT5G56110,,,,,
MYB_MS188_colamp_a,AT5G56110,,,,,
MYB_MYB101_col_a,AT2G32460,,,,,
MYB_MYB101_colamp_a,AT2G32460,,,,,
MYB_MYB107_col_a,AT3G02940,,yes,,,
MYB_MYB107_colamp_a,AT3G02940,,yes,,,
MYB_MYB116_colamp_a,AT1G25340,,,,,
MYB_MYB118_colamp_a,AT3G27785,,,,,
MYB_MYB119_col_a,AT5G58850,,,,,
MYB_MYB119_colamp_a,AT5G58850,,,,,
MYB_MYB121_col_a,AT3G30210,,,,,
MYB_MYB13_col_a,AT1G06180,,,,,
MYB_MYB27_col_a,AT3G53200,,,,,
MYB_MYB27_colamp_a,AT3G53200,,,,,
MYB_MYB33_col_a,AT5G06100,,yes,,,yes
MYB_MYB3R1_col_a,AT4G32730,,,,yes,
MYB_MYB3R1_colamp_a,AT4G32730,,,,yes,
MYB_MYB3R4_col_a,AT5G11510,,,,,
MYB_MYB3R5_col_a,AT5G02320,,,,yes,
MYB_MYB44_col,AT5G67300,,yes,,yes,
MYB_MYB49_col_a,AT5G54230,,yes,,,
MYB_MYB49_colamp_a,AT5G54230,,yes,,,
MYB_MYB55_colamp_a,AT4G01680,,,,,
MYB_MYB56_col_a,AT5G17800,,,,,
MYB_MYB56_colamp_a,AT5G17800,,,,,
MYB_MYB57_col_a,AT3G01530,,,,,
MYB_MYB58_col_a,AT1G16490,,yes,,,
MYB_MYB58_colamp_a,AT1G16490,,yes,,,
MYB_MYB61_col_a,AT1G09540,,,,,
MYB_MYB61_colamp_a,AT1G09540,,yes,,,
MYB_MYB62_colamp_a,AT1G68320,,yes,,,
MYB_MYB63_col_a,AT1G79180,,,,,
MYB_MYB65_col200_a,AT3G11440,,,,,
MYB_MYB65_colamp_a,AT3G11440,,,,,
MYB_MYB67_col_a,AT3G12720,,yes,,,
MYB_MYB70_col_a,AT2G23290,,,,yes,
MYB_MYB73_col_a,AT4G37260,,,,yes,
MYB_MYB74_colamp_a,AT4G05100,,,,,
MYB_MYB77_col_a,AT3G50060,,yes,,yes,yes
MYB_MYB81_col_a,AT2G26960,,,,,
MYB_MYB83_colamp_a,AT3G08500,,,,,yes
MYB_MYB88_col_a,AT2G02820,,,,,
MYB_MYB88_colamp_a,AT2G02820,,,,,
MYB_MYB93_col_a,AT1G34670,,,,,
MYB_MYB93_colamp_a,AT1G34670,,yes,,,
MYB_MYB96_col_b,AT5G62470,,,,,
MYB_MYB98_col_a,AT4G18770,,,,,
MYB_MYB99_colamp_a,AT5G62320,,,,,
MYBrelated_At1g19000_col_a,AT1G19000,,,,,yes
MYBrelated_At1g19000_colamp_a,AT1G19000,,,,,yes
MYBrelated_At1g49010_col_a,AT1G49010,,,,,yes
MYBrelated_At1g49010_colamp_a,AT1G49010,,,,,yes
MYBrelated_AT1G72740_col_a,AT1G72740,,,,,
MYBrelated_AT1G72740_colamp_a,AT1G72740,,,,,
MYBrelated_At1g74840_col100_a,AT1G74840,yes,,,,
MYBrelated_At3g09600_col_a,AT3G09600,yes,yes,,,yes
MYBrelated_At3g09600_colamp_a,AT3G09600,yes,yes,yes,,
MYBrelated_AT3G10113_col_a,AT3G10113,yes,yes,yes,,yes
MYBrelated_AT3G10580_colamp_a,AT3G10580,,,,,
MYBrelated_At3g11280_col_a,AT3G11280,,,,,
MYBrelated_At4g01280_col_a,AT4G01280,yes,,,,
MYBrelated_At4g01280_colamp_a,AT4G01280,yes,yes,yes,,yes
MYBrelated_At5g05790_col_a,AT5G05790,,,,,
MYBrelated_At5g08520_col_b,AT5G08520,,,,,yes
MYBrelated_At5g08520_colamp_a,AT5G08520,,,,,yes
MYBrelated_At5g47390_col_b,AT5G47390,yes,,,,yes
MYBrelated_At5g52660_col_a,AT5G52660,yes,,,,
MYBrelated_At5g52660_colamp_a,AT5G52660,yes,yes,,,yes
MYBrelated_AT5G56840_col_a,AT5G56840,,,,,
MYBrelated_AT5G56840_colamp_a,AT5G56840,yes,,,,
MYBrelated_At5g58900_colamp_a,AT5G58900,,,,,yes
MYBrelated_AT5G61620_col_a,AT5G61620,yes,,,,
MYBrelated_AT5G61620_colamp_a,AT5G61620,,,,,
MYBrelated_EPR1_col,AT1G18330,yes,yes,yes,,yes
MYBrelated_EPR1_colamp_a,AT1G18330,yes,yes,yes,,yes
MYBrelated_LCL1_col,AT5G02840,,,,,
MYBrelated_LCL1_colamp_a,AT5G02840,,,,,
MYBrelated_LHY1_col_a,AT1G01060,yes,yes,yes,,yes
MYBrelated_LHY1_colamp_a,AT1G01060,yes,yes,,,yes
MYBrelated_RVE1_col_a,AT5G17300,yes,yes,yes,,yes
MYBrelated_RVE1_colamp_a,AT5G17300,yes,,,,
MYBrelated_TBP3_col_a,AT5G67580,,,,,
MYBrelated_TRP1_col,AT5G59430,,,,,
MYBrelated_TRP2_col_a,AT3G46590,,,,,
MYBrelated_TRP2_colamp_a,AT3G46590,,,,,
NAC_ANAC004_col_a,AT1G02230,,,,,
NAC_ANAC004_colamp_a,AT1G02230,,,,,
NAC_ANAC005_col_a,AT1G02250,,,,,
NAC_ANAC013_col_a,AT1G32870,,,,,
NAC_ANAC016_col_a,AT1G34180,yes,,,,
NAC_ANAC017_col,AT1G34190,,,,,
NAC_ANAC017_colamp_v31,AT1G34190,,,,,
NAC_ANAC020_col_v31,AT1G54330,,,,yes,
NAC_ANAC028_col_a,AT1G65910,,,,yes,
NAC_ANAC034_col,AT2G02450,,,,,
NAC_ANAC038_col_a,AT2G24430,,,,,
NAC_ANAC042_col_a,AT2G43000,,,,,
NAC_ANAC045_col_a,AT3G03200,,,,yes,
NAC_ANAC045_colamp_a,AT3G03200,,,,,
NAC_ANAC046_col,AT3G04060,,,,,
NAC_ANAC046_colamp_a,AT3G04060,,,,yes,
NAC_ANAC047_col,AT3G04070,,,,,
NAC_ANAC050_col_v3a,AT3G10480,,,,,
NAC_ANAC050_colamp_a,AT3G10480,,,,,
NAC_ANAC053_col,AT3G10500,,,,,
NAC_ANAC053_colamp_a,AT3G10500,,,,,
NAC_ANAC055_col,AT3G15500,,,,,
NAC_ANAC057_col_a,AT3G17730,,,,,
NAC_ANAC057_colamp_a,AT3G17730,,,,,
NAC_ANAC058_col_a,AT3G18400,,,,,yes
NAC_ANAC058_colamp_a,AT3G18400,,,,,
NAC_ANAC062_col,AT3G49530,,,,,
NAC_ANAC062_colamp_a,AT3G49530,,,,,
NAC_ANAC070_col,AT4G10350,,,,yes,yes
NAC_ANAC070_colamp_a,AT4G10350,,,,yes,
NAC_ANAC071_col_a,AT4G17980,,,,yes,yes
NAC_ANAC071_colamp_a,AT4G17980,,,,yes,
NAC_ANAC075_col_a,AT4G29230,,,,,
NAC_ANAC079_col,AT5G07680,,,,,
NAC_ANAC083_col_v3a,AT5G13180,,,,yes,
NAC_ANAC083_colamp_a,AT5G13180,,,,yes,
NAC_ANAC087_col_v3a,AT5G18270,,,,,
NAC_ANAC087_colamp_a,AT5G18270,,,,,
NAC_ANAC092_col_v3a,AT5G39610,,,,,
NAC_ANAC092_colamp_a,AT5G39610,,,,yes,
NAC_ANAC094_col_a,AT5G39820,,,,,
NAC_ANAC096_col,AT5G46590,,,,yes,
NAC_ANAC096_colamp_a,AT5G46590,,,,,
NAC_ANAC103_col_a,AT5G64060,,,,,
NAC_ANAC103_colamp_a,AT5G64060,,,,,
NAC_AT1G19040_col_a,AT1G19040,,,,,
NAC_ATAF1_col_a,AT1G01720,,,,,
NAC_CUC1_col_v31,AT3G15170,,,,,
NAC_CUC2_col,AT5G53950,,,,,
NAC_CUC2_colamp_a,AT5G53950,,,,,
NAC_CUC3_col_a,AT1G76420,,,,,
NAC_NAC2_col_v3a,AT5G04410,,,,,
NAC_NAC2_colamp_a,AT5G04410,,,,,
NAC_NAM_col_v3a,AT1G52880,,,,,
NAC_NAM_colamp_a,AT1G52880,,,,,
NAC_NAP_col_v3a,AT1G69490,,,,,
NAC_NAP_colamp_a,AT1G69490,,,,,
NAC_NST1_col_v31,AT2G46770,,,,yes,
NAC_NST1_colamp_a,AT2G46770,,,,,
NAC_NTL8_col,AT2G27300,,,,,
NAC_NTM1_col_a,AT4G01540,,,,,
NAC_NTM1_colamp_a,AT4G01540,,,,,yes
NAC_NTM2_col_b,AT4G01550,,,,,
NAC_SMB_col_a,AT1G79580,,,,yes,yes
NAC_SMB_colamp_a,AT1G79580,,yes,,yes,yes
NAC_SND2_col_a,AT4G28500,,,,,
NAC_SND2_colamp_a,AT4G28500,yes,,,yes,yes
NAC_SND3_col_b,AT1G28470,yes,,,yes,yes
NAC_SND3_colamp_a,AT1G28470,yes,,,yes,yes
NAC_VND1_col_a,AT2G18060,,,,yes,
NAC_VND2_col_a,AT4G36160,,,,yes,
NAC_VND2_colamp_a,AT4G36160,,yes,,yes,
NAC_VND3_col,AT5G66300,,,,yes,
NAC_VND3_colamp_a,AT5G66300,,,,yes,
NAC_VND4_col,AT1G12260,,,,yes,
NAC_VND4_colamp_a,AT1G12260,,,,yes,
NAC_VND6_col_v31,AT5G62380,,,,yes,
NAC_VND6_colamp_a,AT5G62380,,,,yes,
ND_FRS9_col_a,AT4G38170,,yes,yes,,
ND_FRS9_colamp_a,AT4G38170,,,,,
Orphan_AT1G24250_col_a,AT1G24250,,,,,
Orphan_BBX31_col_a,AT3G21890,,,yes,,yes
RAV_RAV1_col,AT1G13260,,,,,
RAV_RAV1_colamp_a,AT1G13260,,,,,
REM_REM19_col_a,AT1G49480,,,,,
REM_REM19_colamp_a,AT1G49480,,,,yes,yes
RWPRK_NLP7_col_a,AT4G24020,,,,,
RWPRK_RKD2_col_a,AT1G74480,,,,,
RWPRK_RKD2_colamp_a,AT1G74480,,,,yes,
S1Falike_AT3G09735_col_a,AT3G09735,,,,,
SBP_SPL1_col_a,AT2G47070,,yes,,,
SBP_SPL1_colamp_a,AT2G47070,,yes,,,
SBP_SPL13_col_a,AT5G50670,,,,,
SBP_SPL14_col_a,AT1G20980,,,,,
SBP_SPL15_colamp_a,AT3G57920,,yes,,yes,
SBP_SPL5_col_a,AT3G15270,,,,,
SBP_SPL5_colamp_a,AT3G15270,,yes,,yes,
SBP_SPL9_col_a,AT2G42200,,yes,,yes,
SBP_SPL9_colamp_a,AT2G42200,,yes,,yes,
SRS_SRS7_colamp_a,AT1G19790,,,,yes,
TCP_At1g69690_col_a,AT1G69690,,,,yes,
TCP_At1g72010_col,AT1G72010,,,,yes,
TCP_At1g72010_colamp_a,AT1G72010,,,,yes,
TCP_At2g45680_col_b,AT2G45680,,,,,
TCP_At5g08330_col_a,AT5G08330,,,,yes,
TCP_TCP20_col_a,AT3G27010,,,,yes,
TCP_TCP24_col,AT1G30210,,,,yes,
TCP_TCP3_col,AT1G53230,,,,yes,
TCP_TCP7_col_a,AT5G23280,,,,,
Trihelix_AT1G76880_col_a,AT1G76880,,,,,
Trihelix_AT2G33550_colamp_a,AT2G33550,,yes,,yes,
Trihelix_AT3G10030_col_a,AT3G10030,,,,,
Trihelix_AT3G10030_colamp_a,AT3G10030,,,,,
Trihelix_At3g14180_col,AT3G14180,,,,,
Trihelix_AT3G25990_colamp_a,AT3G25990,,,,,
Trihelix_AT5G05550_col_a,AT5G05550,yes,,,,
Trihelix_AT5G05550_colamp_a,AT5G05550,,,,,
Trihelix_AT5G47660_colamp_a,AT5G47660,,,yes,,
Trihelix_GT1_col_a,AT1G13450,,,,,
Trihelix_GT2_col_a,AT1G76890,,,yes,,
Trihelix_GT2_colamp_a,AT1G76890,,,yes,,
Trihelix_GT3a_col_a,AT5G01380,,,,,
Trihelix_GTL1_col_a,AT1G33240,,,yes,,
Trihelix_GTL1_colamp_a,AT1G33240,,,yes,,
WRKY_WRKY14_col_a,AT1G30650,,,,,
WRKY_WRKY14_colamp_a,AT1G30650,,,,,
WRKY_WRKY15_col_b,AT2G23320,,,,,
WRKY_WRKY15_colamp_a,AT2G23320,,,,,
WRKY_WRKY18_col_a,AT4G31800,,,,,
WRKY_WRKY18_colamp_a,AT4G31800,,,,,
WRKY_WRKY20_col_a,AT4G26640,,,,,
WRKY_WRKY21_col,AT2G30590,,,,,
WRKY_WRKY22_col,AT4G01250,,yes,,,
WRKY_WRKY22_colamp_a,AT4G01250,,,,,
WRKY_WRKY24_col_a,AT5G41570,,,,,
WRKY_WRKY24_colamp_a,AT5G41570,,,,,
WRKY_WRKY25_col_a,AT2G30250,,,,,
WRKY_WRKY25_colamp_a,AT2G30250,,,,,
WRKY_WRKY27_col_a,AT5G52830,,,,,
WRKY_WRKY27_colamp_a,AT5G52830,,,,,
WRKY_WRKY28_col_a,AT4G18170,,,yes,,
WRKY_WRKY29_col_a,AT4G23550,,,,,
WRKY_WRKY29_colamp_a,AT4G23550,,,,,
WRKY_WRKY3_col_a,AT2G03340,,,,,
WRKY_WRKY30_colamp_a,AT5G24110,,,,,
WRKY_WRKY31_colamp_a,AT4G22070,,,,,
WRKY_WRKY33_col_a,AT2G38470,,,,,
WRKY_WRKY40_col,AT1G80840,,,,,
WRKY_WRKY45_col_a,AT3G01970,,,,,
WRKY_WRKY45_colamp_a,AT3G01970,,,,,
WRKY_WRKY50_col_a,AT5G26170,,,,,
WRKY_WRKY55_col_a,AT2G40740,,,,,
WRKY_WRKY6_colamp_a,AT1G62300,,,,,
WRKY_WRKY65_col_a,AT1G29280,,,,,
WRKY_WRKY65_colamp_a,AT1G29280,,,,,
WRKY_WRKY7_col,AT4G24240,,,,,
WRKY_WRKY70_col,AT3G56400,,,,,
WRKY_WRKY71_col_a,AT1G29860,,,,,
WRKY_WRKY75_col_a,AT5G13080,,,,,
WRKY_WRKY75_colamp_a,AT5G13080,,,,,
WRKY_WRKY8_col,AT5G46350,,,,,
WRKY_WRKY8_colamp_a,AT5G46350,,,,,
zfGRF_AT3G42860_col_a,AT3G42860,,,,,
ZFHD_ATHB23_col_b,AT5G39760,,,yes,,
ZFHD_ATHB23_colamp_a,AT5G39760,,,yes,,
ZFHD_ATHB24_col_a,AT2G18350,,,,,
ZFHD_ATHB24_colamp_a,AT2G18350,,,,,
ZFHD_ATHB25_col_a,AT5G65410,,,,,
ZFHD_ATHB25_colamp_a,AT5G65410,,,yes,,yes
ZFHD_AtHB32_col200_a,AT1G14687,yes,,,yes,
ZFHD_ATHB33_col_a,AT1G75240,,,,,yes
ZFHD_ATHB33_colamp_a,AT1G75240,,,,,yes
ZFHD_ATHB34_col_a,AT3G28920,,,,,
ZFHD_ATHB34_colamp_a,AT3G28920,,,yes,,
